[npc]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
anita_chain_2|Greetings, hero! I am so thankful to you that words can not express it. I still have a huge problem though. I had to abandon the Herbalism pouch while running away from the bear. I think it dropped near the frozen cellar. Can you locate the bag and bring it back to me? It's filled with the most potent and rare herbs I had, I really need it back.||Saudações, herói! Sou tão grata a você que não há palavras para expressar isso. Mas ainda tenho um grande problema. Tive que abandonar a bolsa de Herbalismo enquanto fugia do urso. Acho que ela caiu perto do porão congelado. Você pode localizar a bolsa e trazê-la de volta para mim? Ela está cheia das ervas mais potentes e raras que eu tinha, preciso muito dela de volta.|Приветствую тебя, герой! Я так благодарен тебе, что словами это не выразить. Хотя у меня все еще есть огромная проблема. Мне пришлось бросить мешочек с травами, когда я убегал от медведя. Я думаю, он упал рядом с морозильным погребом. Вы можете найти пакет и вернуть его мне? Он наполнен самыми сильнодействующими и редкими травами, которые у меня были, мне действительно нужно его вернуть.|你好，英雄！  我非常感谢你，言語無法表達。  儘管如此，我仍然有一個巨大的問題。  在逃離熊的時候，我不得不放棄草藥袋。  我想它掉在結冰的地窖附近了。  你能找到袋子並把它還給我嗎？  裡面充滿了我所擁有的最強效、最稀有的草藥，我真的需要它回來。||||Salutations, héros ! Je vous suis tellement reconnaissant que les mots me manquent pour l'exprimer. Mais j'ai encore un gros problème. J'ai dû abandonner ma [c_yellow]Poche d'herboriste[c_reset] en fuyant l'ours. Je pense qu'elle est tombée près de la [c_aqua]Cave gelée[c_reset]. Pouvez-vous la retrouver et me la rapporter ? Elle est remplie des herbes les plus puissantes et les plus rares que je possède, j'en ai vraiment besoin.
anita_chain_2_complete|Very well done, hero. This is everything I lost! You know, to express my gratitude I could make you a very powerful armor. The only thing I need to finish it would require revenge on a certain bear...||Muito bem feito, herói. Isso é tudo o que eu perdi! Sabe, para expressar minha gratidão, eu poderia fazer uma armadura muito poderosa para você. A única coisa que precisa para terminá-la precisaria de vingança em um certo urso…|Отличная работа, герой. Это все, что я потерял! Знаешь, чтобы выразить свою благодарность, я мог бы сделать тебе очень мощную броню. Единственное, что мне нужно для ее завершения, - отомстить определенному медведю…|幹得好，英雄。  這就是我失去的一切！  你知道，為了表達我的感激之情，我可以為你製作一件非常強大的盔甲。  我唯一需要完成的就是向某隻熊報仇…||||Très bien joué, héros. C'est tout ce que j'ai perdu ! Vous savez, pour vous exprimer ma gratitude, je pourrais vous fabriquer une armure très puissante. La seule chose dont j'ai besoin pour la terminer, c'est de me venger d'un certain ours...
anita_chain_3|The bear that almost mauled me to death is a huge Grizzly Bear the locals know as Carnage. I want him dead! If you can track and kill Carnage I get my revenge and you will get your armor. Bring me Carnage's hide!||O urso que quase me matou é um enorme urso pardo que os moradores locais conhecem como Carnificina. Eu o quero morto! Se você conseguir rastrear e matar o Carnificina, terei minha vingança e você receberá sua armadura. Traga-me a pele do Carnificina!|Медведь, который чуть не растерзал меня до смерти, - огромный медведь Гризли, которого местные знают как Карнажа. Я хочу, чтобы он умер! Если ты сможешь выследить и убить Карнажа, я отомщу, а ты получишь свои доспехи. Принеси мне шкуру Карнажа!|差點把我咬死的熊是一隻巨大的灰熊，  當地人稱之為[c_red]屠戮者[c_reset]。[nl]我要他死！  如果你能追蹤並殺死[c_red]屠戮者[c_reset]，我達成報仇，你也會得到你的盔甲。  把[c_red]屠戮者[c_reset]的皮給我拿來！||||L'ours qui a failli me tuer est un énorme grizzly que les gens du coin appellent [c_red]Carnage[c_reset]. Je veux qu'il meure ! Si vous parvenez à traquer et à tuer [c_red]Carnage[c_reset], je me vengerai et vous obtiendrez votre armure. Apportez-moi la peau de [c_red]Carnage[c_reset] !
anita_chain_3_complete|Carnage is dead! My gathering route just got way less dangerous. Here, hero, I finished your armor. You have definitely earned it. [shake_letter]blows kiss||O Carnificina está morto! Minha rota de coleta acabou de ficar muito menos perigosa. Aqui, herói, terminei sua armadura. Você definitivamente a mereceu. [shake_letter]sopra um beijo|Карнаж мертв! Мой маршрут сбора только что стал намного менее опасным. Вот, герой, я закончил твою броню. Ты определенно это заслужил. [shake_letter] воздушный поцелуй|[c_red]屠戮者[c_reset]死了！  我的採集路線變得不那麼危險了。  在這裡，英雄，我完成了你的盔甲。  你絕對賺到了。  [shake_letter]飛吻||||[c_red]Carnage[c_reset] est mort ! Ma route de collecte vient de devenir beaucoup moins dangereuse. Voilà, héros, j'ai fini votre armure. Vous l'avez bien méritée. [shake_letter]souffle un baiser
|||||||||||
anita_chain_inprogress|...||...|...|||||Où ai-je pu poser ce machin ? *Anita vous ignore*
|||||||||||
jasper_npc_name|Jasper Jackson||Jasper Jackson|Джаспер Джексон|||||Jasper Jackson
jasper_npc_title|Archeologist||Arqueólogo|Археолог|考古學家||||Archéologue
jasper_chain_1|Hey you! Yeah, I'm talking to you, whatever the hell you are supposed to be. I have a job for you. Go get my trusty whip. I would do it myself, but I don't have my trusty whip. Some orc must have taken it.||Ei, você! Sim, estou falando com você, seja lá o que você for. Tenho um trabalho para você. Vá buscar meu chicote de confiança. Eu mesmo faria isso, mas não tenho meu chicote de confiança. Algum orc deve tê-lo levado.|Эй, ты! Да, я обращаюсь к тебе, кем бы ты, черт возьми, ни был. У меня есть для тебя работа. Сходи за моим верным хлыстом. Я бы сделал это сам, но у меня нет моего верного хлыста. Должно быть, его забрал какой-нибудь орк.|嘿，你！  對，我正在和你說話，不管你到底是什麼東西。  我有份工作交給你。  去找回我的可靠鞭子。  我本來會自己去的，但我沒有我的可靠鞭子。  一定是有些獸人拿走了它。||||Hé, toi ! Oui, c'est à toi que je parle, peut importe ce que tu censé être. J'ai un travail pour toi. Va chercher mon [c_yellow]fidèle fouet[c_reset]. Je le ferais bien moi-même, mais j'aurais besoin de mon fidèle fouet pour ça. Un orc a dû le prendre.
jasper_chain_1_complete|Took you long enough. Here's some gold. Get out of my sight, you are ruining the scenery.||Demorou bastante. Aqui está um pouco de ouro. Saia da minha vista, você está estragando a paisagem.|Это заняло у тебя достаточно времени. Вот немного золота. Убирайся с моих глаз, ты портишь пейзаж.|花了你這麼長時間。  這裡有一些金子。  快從我眼前消失， 你搞得風景一團糟。||||Tu en as mis du temps. Voilà de l'or. Hors de ma vue, tu gâches le paysage.
jasper_chain_2|"I heard about a map. This map would show where the Staff of Anubis is located. GET ME THAT MAP! My intel tells me it's somewhere called ""Cauflax Tomb"" whatever the hell that place is. Go away now."||"Ouvi falar de um mapa. Esse mapa mostraria onde está localizado o Cajado de Anúbis. ME TRAGA ESTE MAPA! Minhas informações me dizem que está em algum lugar chamado ""Tumba de Cauflax"", seja lá o que for esse lugar. Vá embora agora."|"Я слышал о карте. На этой карте было бы показано, где находится Посох Анубиса. ДОСТАНЬ МНЕ ЭТУ КАРТУ! Моя информация говорит мне, что это где-то под названием ""Гробница Кауфлакса"", что бы это ни было, черт возьми, за место. Уходи сейчас же."|我聽說有一張地圖。  這張地圖會顯示出阿努比斯之杖的所在地。  給我那張地圖！ 我的情報告訴我它在一個叫做「卡夫拉克斯墓」的地方， 不管那地方是什麼鬼東西。  現在滾開。||||"J'ai entendu parler d'une [c_yellow]carte[c_reset]. Elle indiquerait où se trouve le bâton d'Anubis. APPORTEZ-MOI CETTE CARTE ! Mes renseignements me disent que c'est quelque part appelé ""[c_aqua]Tombe de Cauflax[c_reset]"", Je ne sais pas où ça ce trouve, tu n'a qu'a chercher par toi même. Va-t'en maintenant."
jasper_chain_2_complete|What took you so long? Whatever, don't answer. Here is some gold. Let me inspect the map.||Por que você demorou tanto? Não importa, não responda. Aqui está um pouco de ouro. Deixe-me inspecionar o mapa.|Почему ты так долго? Неважно, не отвечай. Вот немного золота. Дай мне посмотреть на карту.|你為什麼用這麼長時間？  算了，別回答。  這裡有一些金子。  讓我看看這張地圖。||||Qu'est-ce qui t'a pris tant de temps ? Peu importe, ne réponds pas. Voici de l'or. Laisse-moi inspecter la carte.
jasper_chain_3|The map shows that the staff is hidden in a remote tomb inside the Treasure Room in Mysterious Pyramid. I would go get it myself, but you are already familiar with the map. Just go. Bring me the staff and I'll pay you more than you can spend. GO!||O mapa mostra que o cajado está escondido em uma tumba remota dentro da Sala do Tesouro na Pirâmide Misteriosa. Eu mesmo iria buscá-lo, mas você já está familiarizado com o mapa. Apenas vá. Traga-me o cajado e eu lhe pagarei mais do que você pode gastar. VÁ!|Карта показывает, что посох спрятан в отдаленной гробнице внутри сокровищницы в Таинственной пирамиде. Я бы пошел за ним сам, но вы уже знакомы с картой. Просто идите. Приведи мне посох, и я заплачу тебе больше, чем ты сможешь потратить. ИДИ!|地圖顯示，[nl]這支杖藏在神秘金字塔的寶藏室內的一個遠古墓中。  我本來會自己去拿的，但你已經熟悉這張地圖了。  快去。 把杖帶回來，我會支付你比你花得出去的還多的報酬。  走吧！||||La carte indique que le [c_yellow]bâton d'Anubis[c_reset] est caché dans un tombeau éloigné, dans la salle du trésor de la [c_aqua]Pyramide mystérieuse[c_reset]. J'irais bien le chercher moi-même, mais je pense qu'il est préférable que tu prenne les risques. Vas-y, c'est tout. Apporte-moi le bâton et je te paierai plus que tu ne peux dépenser. ALLEZ !
