|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
inc_struck_effectiveness|Increased Struck Skill effectiveness||Eficácia da Habilidade Atingida Aumentada|Повышена эффективность удара.|受擊技能效果增加|被弾時発動スキルの効果増加|피격 스킬 효과 증가|Erhöhte Effektivität der getroffenen Fertigkeit|Efficacité accrue de la compétence déclenchée|Eficacia aumentada de las Habilidades al ser Golpeado|Zwiększona skuteczność trafionej umiejętności
inc_struck_level|to Level of Struck Skills||para Nível de Habilidades Atingidas|до уровня навыков удара|受擊技能等級|被弾時発動スキルのレベルへの補正|피격 스킬 레벨 증가|Bonus auf die Stufe der getroffenen Fertigkeiten|Bonus au niveau de la compétence déclenchée|al nivel de las Habilidades al ser Golpeado|do poziomu trafionych umiejętności
inc_charging_damage_per_vitality|Increased Charge Skill damage per point in Vitality||Dano de Habilidade de Carga Aumentado por ponto em Vitalidade|Увеличенный урон от навыка «Заряд» за каждое очко в живучести.|每點體力增加衝鋒技能傷害|Vitality（生命力）の値に応じたチャージスキルダメージ増加|활력 포인트당 돌진 스킬 데미지 증가|Erhöhter Schaden von Aufladefertigkeiten pro Punkt in Vitalität|Dégâts accrus de la compétence de charge par point de Vitalité|Daño de Habilidades de Carga aumentado por cada punto de Vitalidad|Zwiększone obrażenia umiejętności typu szarża za każdy punkt Witalności
inc_damage_return_p|Increased Damage Returned||Dano Retornado Aumentado|Увеличенный возвращаемый урон|增加反射傷害|反射ダメージ増加|데미지 반사 증가|Erhöhter reflektierter Schaden|Dégâts renvoyés accrus|Daño Reflejado aumentado|Zwiększone obrażenia zwrotne
inc_projectile_skills|to Projectile Skills||para Habilidades de Projétil|к навыкам метания снарядов|投射物技能|投射物スキルへの補正|투사체 스킬 증가|Bonus für Projektilfertigkeiten|Bonus aux compétences de projectile|a las Habilidades de Proyectiles|do umiejętności wykorzystujących pociski
inc_fire_break|Increased Fire Break||Ruptura de Fogo Aumentada|Усиленная противопожарная полоса|增加火焰破甲|炎上ブレイク（Fire Break）増加|불 파괴 증가|Erhöhter Feuerschaden-Durchbruch|Rupture de feu accrue|Ruptura Ígnea aumentada|Zwiększone obrażenia efektu Fire Break
inc_fire_break_crit_chance|Chance for Critical Fire Break||Chance de Ruptura de Fogo Crítica|Шанс на создание критического огненного барьера|火焰破甲暴擊機率|炎上ブレイクのクリティカル発生率|크리티컬 불 파괴 발동 확률|Chance auf kritischen Feuerschaden-Durchbruch|Chance de rupture de feu critique|Probabilidad de Ruptura Ígnea Crítica|Szansa na krytyczny efekt Fire Break
inc_fire_break_crit_damage|Critical Fire Break Damage||Dano de Ruptura de Fogo Crítica|Критический урон от пробития огня|火焰破甲暴擊傷害|炎上ブレイクのクリティカルダメージ|크리티컬 불 파괴 데미지|Schaden bei kritischem Feuerschaden-Durchbruch|Dégâts de rupture de feu critique|Daño de Ruptura Ígnea Crítica|Obrażenia krytyczne efektu Fire Break
inc_heart_of_fire|Chance to unleash Heart of Fire on Fire hit||Chance de liberar Coração de Fogo ao acertar com Fogo|Шанс выпустить Heart of Fire на Fire hit|火焰擊中時有幾率釋放烈火之心|炎属性攻撃ヒット時に「Heart of Fire」を放つ確率|화염 명중 시 불의 심장을 발동할 확률|Chance, bei einem Feuertreffer „Herz des Feuers“ auszulösen|Chance de libérer « Cœur de feu » lors d'un coup de feu|Probabilidad de activar Corazón de Fuego al golpear con Fuego|Szansa na uwolnienie efektu Heart of Fire przy trafieniu obrażeniami od ognia
inc_heart_of_fire_damage|Heart of Fire Damage||Dano de Coração de Fogo|Повреждения от «Сердца огня»|烈火之心傷害|「Heart of Fire」のダメージ|불의 심장 데미지|Schaden von „Herz des Feuers“|Dégâts de « Cœur de feu »|Daño de Corazón de Fuego|Obrażenia efektu Heart of Fire
inc_poison_break|Increased Poison Break||Ruptura de Veneno Aumentada|Усиленный яд|增加劇毒破甲|毒ブレイク（Poison Break）増加|독 파괴 증가|Erhöhter Giftschaden-Durchbruch|Rupture de poison accrue|Ruptura del Veneno aumentada|Zwiększone obrażenia efektu Poison Break
inc_poison_break_crit_chance|Chance for Critical Poison Break||Chance de Ruptura de Veneno Crítica|Шанс на критический прорыв яда|劇毒破甲暴擊機率|毒ブレイクのクリティカル発生率|크리티컬 독 파괴 발동 확률|Chance auf kritischen Giftschaden-Durchbruch|Chance de rupture de poison critique|Probabilidad de Ruptura del Veneno Crítica|Szansa na krytyczny efekt Poison Break
inc_poison_break_crit_damage|Critical Poison Break Damage||Dano de Ruptura de Veneno Crítica|Критический урон от разрыва ядовитого барьера|劇毒破甲暴擊傷害|毒ブレイクのクリティカルダメージ|크리티컬 독 파괴 데미지|Schaden bei kritischem Giftschaden-Durchbruch|Dégâts de rupture de poison critique|Daño de Ruptura del Veneno Crítica|Obrażenia krytyczne efektu Poison Break
inc_vile_pustules|Chance to unleash Vile Pustules on Poison hit||Chance de liberar Pústulas Vis ao acertar com Veneno|Шанс выпустить мерзкие гнойнички при попадании ядом|毒素擊中時有幾率釋放邪惡膿疱|毒属性攻撃ヒット時に「Vile Pustules」を放つ確率|독 명중 시 사악한 농포를 발동할 확률|Chance, bei einem Gifttreffer „Bösartige Pusteln“ auszulösen|Chance de libérer « Pustules immondes » lors d'un coup de poison|Probabilidad de activar Pústulas Viles al golpear con Veneno|Szansa na uwolnienie efektu Vile Pustules przy trafieniu obrażeniami od trucizny
inc_vile_pustules_damage|Vile Pustules Damage||Dano de Pústulas Vis |Гнойные гнойные язвы повреждают|邪惡膿疱傷害|「Vile Pustules」のダメージ|사악한 농포 데미지|Schaden von „Bösartige Pusteln“|Dégâts de « Pustules immondes »|Daño de Pústulas Viles|Obrażenia efektu Vile Pustules
inc_arcane_break|Increased Arcane Break||Aumento de Ruptura Arcana|Усиленный магический прорыв|增加奧術破甲|魔力ブレイク（Arcane Break）増加|아케인 파괴 증가|Erhöhter Arkanschaden-Durchbruch|Rupture arcanique accrue|Ruptura Arcana aumentada|Zwiększone obrażenia efektu Arcane Break
inc_arcane_break_crit_chance|Chance for Critical Arcane Break on hit||Chance de Ruptura Arcana Crítica ao acertar|Шанс на критический прорыв тайной магии при попадании.|擊中時有幾率造成奧術破甲暴擊|ヒット時に魔力ブレイクのクリティカルが発生する確率|명중 시 크리티컬 아케인 파괴 발동 확률|Chance auf kritischen Arkanschaden-Durchbruch bei Treffer|Chance de rupture arcanique critique à l'impact|Probabilidad de Ruptura Arcana Crítica al golpear|Szansa na krytyczny efekt Arcane Break przy trafieniu
inc_arcane_break_crit_damage|Critical Arcane Break Damage||Dano de Ruptura Arcana Crítica|Критический урон от магического пробития|奧術破甲暴擊傷害|魔力ブレイクのクリティカルダメージ |크리티컬 아케인 파괴 데미지|Schaden bei kritischem Arkanschaden-Durchbruch |Dégâts de rupture arcanique critique |Daño de Ruptura Arcana Crítica|Obrażenia krytyczne efektu Arcane Break 
inc_arcana_destruction|Chance to unleash Arcana Destruction on Arcane hit||Chance de desencadear Destruição Arcana ao acertar um ataque Arcano|Шанс обрушить Разрушительный удар Тайной магии при попадании Тайной магией.|秘法擊中時有幾率釋放秘法毀滅|アルケイン攻撃時にアルケイン破壊を発動する確率|아케인 명중 시 아케인 파괴를 발동할 확률|Chance, bei einem Arkantreffer Arkane Zerstörung auszulösen|Chance de déclencher Destruction des arcanes lors d'un coup des arcanes|Probabilidad de activar Destrucción Arcana al golpear con daño Arcano|Szansa na uwolnienie Zniszczenia Arkan przy trafieniu Arkanem
inc_arcana_destruction_damage|Arcana Destruction Damage||Dano de Destruição Arcana|Урон от разрушения магии|秘法毀滅傷害|アルケイン破壊ダメージ|아케인 파괴 데미지|Schaden durch Arkane Zerstörung|Dégâts de Destruction des arcanes|Daño de Destrucción Arcana|Obrażenia Zniszczenia Arkan
inc_lightning_break|Increased Lightning Break||Aumento de Ruptura de Relâmpago|Усиленная молниеотводная зона|增加閃電破甲|ライトニングブレイク増加|번개 파괴 증가|Erhöhter Blitzbruch|Rupture de foudre accrue|Ruptura Eléctrica aumentada|Zwiększone Złamanie Błyskawicy
inc_lightning_break_crit_chance|Chance for Critical Lightning Break on hit||Chance de Ruptura de Relâmpago Crítica ao acertar|Шанс на критический удар «Молниеносный прорыв» при попадании.|擊中時有幾率造成閃電破甲暴擊|クリティカルライトニングブレイク発生確率|명중 시 크리티컬 번개 파괴 발동 확률|Chance auf kritischen Blitzbruch bei Treffer|Chance de Rupture de foudre critique à l'impact|Probabilidad de Ruptura Eléctrica Crítica al golpear|Szansa na krytyczne Złamanie Błyskawicy przy trafieniu
inc_lightning_break_crit_damage|Critical Lightning Break Damage||Dano de Ruptura de Relâmpago Crítica|Критический урон от молнии|閃電破甲暴擊傷害|クリティカルライトニングブレイクダメージ|크리티컬 번개 파괴 데미지|Schaden durch kritischen Blitzbruch|Dégâts de Rupture de foudre critique|Daño de Ruptura Eléctrica Crítica|Krytyczne Obrażenia Złamania Błyskawicy
inc_storm_turbulence|Chance to unleash Storm Turbulence on Lightning hit||Chance de desencadear Turbulência Tempestuosa ao acertar um ataque Relâmpago|Шанс вызвать штормовую турбулентность при попадании молнии.|閃電擊中時有幾率釋放風暴亂流|ライトニング攻撃時にストームタービュランスを発動する確率|번개 명중 시 폭풍의 격동을 발동할 확률|Chance, bei einem Blitztreffer Sturmturbulenzen auszulösen|Chance de déclencher Turbulence de tempête lors d'un coup de foudre|Probabilidad de activar Turbulencia de Tormenta al golpear con daño de Rayo|Szansa na uwolnienie Turbulencji Burzy przy trafieniu Błyskawicą
inc_storm_turbulence_damage|Storm Turbulence Damage||Dano de Turbulência Tempestuosa|Ущерб от штормовой турбулентности|風暴亂流傷害|ストームタービュランスダメージ|폭풍의 격동 데미지|Schaden durch Sturmturbulenzen|Dégâts de Turbulence de tempête|Daño de Turbulencia de Tormenta|Obrażenia Turbulencji Burzy
inc_cold_break|Increased Cold Break||Aumento de Ruptura de Gelo|Усиленный холодный перерыв|增加冰霜破甲|コールドブレイク増加|냉기 파괴 증가|Erhöhter Kältebruch|Rupture de froid accrue|Ruptura Gélida aumentada|Zwiększone Złamanie Zimna
inc_cold_break_crit_chance|Chance for Critical Cold Break on hit||Chance de Ruptura de Gelo Crítica ao acertar|Шанс на критический холодовой удар при попадании.|擊中時有幾率造成冰霜破甲暴擊|クリティカルコールドブレイク発生確率|명중 시 크리티컬 냉기 파괴 발동 확률|Chance auf kritischen Kältebruch bei Treffer|Chance de Rupture de froid critique à l'impact|Probabilidad de Ruptura Gélida Crítica al golpear|Szansa na krytyczne Złamanie Zimna przy trafieniu
inc_cold_break_crit_damage|Critical Cold Break Damage||Dano de Ruptura de Gelo Crítica|Критическое повреждение от холодового разрыва|冰霜破甲暴擊傷害|クリティカルコールドブレイクダメージ|크리티컬 냉기 파괴 데미지|Schaden durch kritischen Kältebruch|Dégâts de Rupture de froid critique|Daño de Ruptura Gélida Crítica|Krytyczne Obrażenia Złamania Zimna
inc_avalanche_of_boulders|Chance to unleash Avalanche of Boulders on Cold hit||Chance de desencadear Avalanche de Rochas ao acertar um ataque de Gelo|Шанс обрушить лавину валунов при холодном ударе.|冰霜擊中時有幾率釋放巨石雪崩|コールド攻撃時にアバランチオブボルダーズを発動する確率|냉기 명중 시 바위의 눈사태를 발동할 확률|Chance, bei einem Kältetreffer eine Felslawine auszulösen|Chance de déclencher Avalanche de rochers lors d'un coup de froid|Probabilidad de activar Avalancha de Rocas al golpear con daño de Frío|Szansa na uwolnienie Lawiny Głazów przy trafieniu Zimnem
inc_avalanche_of_boulders_damage|Avalanche of Boulders Damage||Dano de Avalanche de Rochas|Ущерб от лавины валунов|巨石雪崩傷害|アバランチオブボルダーズダメージ|바위의 눈사태 데미지|Schaden durch Felslawine|Dégâts d'Avalanche de rochers|Daño de Avalancha de Rocas|Obrażenia Lawiny Głazów
inc_ranged_projectile_speed|Increased Ranged Projectile Speed||Aumento da Velocidade de Projéteis à Distância|Увеличена скорость полета снаряда на дальних дистанциях.|增加遠程投射物速度|遠距離投射物速度増加|원거리 투사체 속도 증가|Erhöhte Projektilgeschwindigkeit für Fernkampfangriffe|Vitesse des projectiles à distance accrue|Velocidad de Proyectiles a Distancia aumentada|Zwiększona Prędkość Pocisku Dystansowego
